Genesis 1:27,"So God created man in his own image, in the image of God created he him; male and female created he them."
Genesis 1:28,"And God blessed them, and God said unto them, Be fruitful, and multiply, and replenish the earth, and subdue it: and have dominion over the fish of the sea, and over the fowl of the air, and over every living thing that moveth upon the earth."
Exodus 15:1,"Then sang Moses and the children of Israel this song unto the LORD, and spake, saying, I will sing unto the LORD, for he hath triumphed gloriously: the horse and his rider hath he thrown into the sea."
Exodus 15:2,"The LORD is my strength and song, and he is become my salvation: he is my God, and I will prepare him an habitation; my father's God, and I will exalt him."
Exodus 15:3,The LORD is a man of war: the LORD is his name.
Leviticus 20:13,"If a man also lie with mankind, as he lieth with a woman, both of them have committed an abomination: they shall surely be put to death; their blood shall be upon them."
Numbers 6:24,"The LORD bless thee, and keep thee:"
Numbers 6:25,"The LORD make his face shine upon thee, and be gracious unto thee:"
Numbers 6:26,"The LORD lift up his countenance upon thee, and give thee peace."
Deuteronomy 32:35,"To me belongeth vengeance, and recompence; their foot shall slide in due time: for the day of their calamity is at hand, and the things that shall come upon them make haste."
Deuteronomy 32:36,"For the LORD shall judge his people, and repent himself for his servants, when he seeth that their power is gone, and there is none shut up, or left."
Joshua 24:15,"And if it seem evil unto you to serve the LORD, choose you this day whom ye will serve; whether the gods which your fathers served that were on the other side of the flood, or the gods of the Amorites, in whose land ye dwell: but as for me and my house, we will serve the LORD."
Judges 2:18,"And when the LORD raised them up judges, then the LORD was with the judge, and delivered them out of the hand of their enemies all the days of the judge: for it repented the LORD because of their groanings by reason of them that oppressed them and vexed them."
Ruth 2:12,"The LORD recompense thy work, and a full reward be given thee of the LORD God of Israel, under whose wings thou art come to trust."
1 Samuel 2:2,There is none holy as the LORD: for there is none beside thee: neither is there any rock like our God.
2 Samuel 22:7,"In my distress I called upon the LORD, and cried to my God: and he did hear my voice out of his temple, and my cry did enter into his ears."
1 Kings 8:60,"That all the people of the earth may know that the LORD is God, and that there is none else."
2 Kings 17:39,But the LORD your God ye shall fear; and he shall deliver you out of the hand of all your enemies.
1 Chronicles 16:8,"Give thanks unto the LORD, call upon his name, make known his deeds among the people."
1 Chronicles 16:9,"Sing unto him, sing psalms unto him, talk ye of all his wondrous works."
1 Chronicles 16:10,Glory ye in his holy name: let the heart of them rejoice that seek the LORD.
1 Chronicles 16:11,"Seek the LORD and his strength, seek his face continually."
1 Chronicles 16:12,"Remember his marvellous works that he hath done, his wonders, and the judgments of his mouth;"
2 Chronicles 19:2,"And Jehu the son of Hanani the seer went out to meet him, and said to king Jehoshaphat, Shouldest thou help the ungodly, and love them that hate the LORD? therefore is wrath upon thee from before the LORD."
Nehemiah 9:6,"Thou, even thou, art LORD alone; thou hast made heaven, the heaven of heavens, with all their host, the earth, and all things that are therein, the seas, and all that is therein, and thou preservest them all; and the host of heaven worshippeth thee."
Job 1:21,"And said, Naked came I out of my mother's womb, and naked shall I return thither: the LORD gave, and the LORD hath taken away; blessed be the name of the LORD."
Job 26:7,"He stretcheth out the north over the empty place, and hangeth the earth upon nothing."
Psalm 1:1,"Blessed is the man that walketh not in the counsel of the ungodly, nor standeth in the way of sinners, nor sitteth in the seat of the scornful."
Psalm 1:2,But his delight is in the law of the LORD; and in his law doth he meditate day and night.
Psalm 1:3,"And he shall be like a tree planted by the rivers of water, that bringeth forth his fruit in his season; his leaf also shall not wither; and whatsoever he doeth shall prosper."
Psalm 1:4,The ungodly are not so: but are like the chaff which the wind driveth away.
Psalm 1:5,"Therefore the ungodly shall not stand in the judgment, nor sinners in the congregation of the righteous."
Psalm 1:6,For the LORD knoweth the way of the righteous: but the way of the ungodly shall perish.
Psalm 2:1,"Why do the heathen rage, and the people imagine a vain thing?"
Psalm 2:2,"The kings of the earth set themselves, and the rulers take counsel together, against the LORD, and against his anointed, saying,"
Psalm 2:3,"Let us break their bands asunder, and cast away their cords from us."
Psalm 2:4,He that sitteth in the heavens shall laugh: the Lord shall have them in derision.
Psalm 2:5,"Then shall he speak unto them in his wrath, and vex them in his sore displeasure."
Psalm 2:6,Yet have I set my king upon my holy hill of Zion.
Psalm 2:7,"I will declare the decree: the LORD hath said unto me, Thou art my Son; this day have I begotten thee."
Psalm 2:8,"Ask of me, and I shall give thee the heathen for thine inheritance, and the uttermost parts of the earth for thy possession."
Psalm 2:9,Thou shalt break them with a rod of iron; thou shalt dash them in pieces like a potter's vessel.
Psalm 2:10,"Be wise now therefore, O ye kings: be instructed, ye judges of the earth."
Psalm 2:11,"Serve the LORD with fear, and rejoice with trembling."
Psalm 2:12,"Kiss the Son, lest he be angry, and ye perish from the way, when his wrath is kindled but a little. Blessed are all they that put their trust in him."
Psalm 8:1,"O LORD our Lord, how excellent is thy name in all the earth! who hast set thy glory above the heavens."
Psalm 8:2,"Out of the mouth of babes and sucklings hast thou ordained strength because of thine enemies, that thou mightest still the enemy and the avenger."
Psalm 8:3,"When I consider thy heavens, the work of thy fingers, the moon and the stars, which thou hast ordained;"
Psalm 8:4,"What is man, that thou art mindful of him? and the son of man, that thou visitest him?"
Psalm 8:5,"For thou hast made him a little lower than the angels, and hast crowned him with glory and honour."
Psalm 8:6,Thou madest him to have dominion over the works of thy hands; thou hast put all things under his feet:
Psalm 8:7,"All sheep and oxen, yea, and the beasts of the field;"
Psalm 8:8,"The fowl of the air, and the fish of the sea, and whatsoever passeth through the paths of the seas."
Psalm 8:9,"O LORD our Lord, how excellent is thy name in all the earth!"
Psalm 9:17,"The wicked shall be turned into hell, and all the nations that forget God."
Psalm 11:5,The LORD trieth the righteous: but the wicked and him that loveth violence his soul hateth.
Psalm 11:6,"Upon the wicked he shall rain snares, fire and brimstone, and an horrible tempest: this shall be the portion of their cup."
Psalm 11:7,For the righteous LORD loveth righteousness; his countenance doth behold the upright.
Psalm 14:1,"{To the chief Musician, A Psalm of David.} The fool hath said in his heart, There is no God. They are corrupt, they have done abominable works, there is none that doeth good."
Psalm 19:1,"{To the chief Musician, A Psalm of David.} The heavens declare the glory of God; and the firmament sheweth his handywork."
Psalm 19:2,"Day unto day uttereth speech, and night unto night sheweth knowledge."
Psalm 19:3,"There is no speech nor language, where their voice is not heard."
Psalm 19:4,"Their line is gone out through all the earth, and their words to the end of the world. In them hath he set a tabernacle for the sun,"
Psalm 19:5,"Which is as a bridegroom coming out of his chamber, and rejoiceth as a strong man to run a race."
Psalm 19:6,"His going forth is from the end of the heaven, and his circuit unto the ends of it: and there is nothing hid from the heat thereof."
Psalm 19:7,"The law of the LORD is perfect, converting the soul: the testimony of the LORD is sure, making wise the simple."
Psalm 19:8,"The statutes of the LORD are right, rejoicing the heart: the commandment of the LORD is pure, enlightening the eyes."
Psalm 19:9,"The fear of the LORD is clean, enduring for ever: the judgments of the LORD are true and righteous altogether."
Psalm 19:10,"More to be desired are they than gold, yea, than much fine gold: sweeter also than honey and the honeycomb."
Psalm 19:11,Moreover by them is thy servant warned: and in keeping of them there is great reward.
Psalm 19:12,Who can understand his errors? cleanse thou me from secret faults.
Psalm 19:13,"Keep back thy servant also from presumptuous sins; let them not have dominion over me: then shall I be upright, and I shall be innocent from the great transgression."
Psalm 19:14,"Let the words of my mouth, and the meditation of my heart, be acceptable in thy sight, O LORD, my strength, and my redeemer."
Psalm 20:7,"Some trust in chariots, and some in horses: but we will remember the name of the LORD our God."
Psalm 23:1,{A Psalm of David.} The LORD is my shepherd; I shall not want.
Psalm 23:2,He maketh me to lie down in green pastures: he leadeth me beside the still waters.
Psalm 23:3,He restoreth my soul: he leadeth me in the paths of righteousness for his name's sake.
Psalm 23:4,"Yea, though I walk through the valley of the shadow of death, I will fear no evil: for thou art with me; thy rod and thy staff they comfort me."
Psalm 23:5,Thou preparest a table before me in the presence of mine enemies: thou anointest my head with oil; my cup runneth over.
Psalm 23:6,Surely goodness and mercy shall follow me all the days of my life: and I will dwell in the house of the LORD for ever.
Psalm 111:10,The fear of the LORD is the beginning of wisdom: a good understanding have all they that do his commandments: his praise endureth for ever.
Psalm 118:6,The LORD is on my side; I will not fear: what can man do unto me?
Psalm 118:18,The LORD hath chastened me sore: but he hath not given me over unto death.
Psalm 118:22,The stone which the builders refused is become the head stone of the corner.
Psalm 118:24,This is the day which the LORD hath made; we will rejoice and be glad in it.
Psalm 138:7,"Though I walk in the midst of trouble, thou wilt revive me: thou shalt stretch forth thine hand against the wrath of mine enemies, and thy right hand shall save me."
Psalm 139:21,"Do not I hate them, O LORD, that hate thee? and am not I grieved with those that rise up against thee?"
Psalm 139:22,I hate them with perfect hatred: I count them mine enemies.
Proverbs 3:5,Trust in the LORD with all thine heart; and lean not unto thine own understanding.
Proverbs 3:6,"In all thy ways acknowledge him, and he shall direct thy paths."
Proverbs 3:11,"My son, despise not the chastening of the LORD; neither be weary of his correction:"
Proverbs 3:12,For whom the LORD loveth he correcteth; even as a father the son in whom he delighteth.
Proverbs 3:13,"Happy is the man that findeth wisdom, and the man that getteth understanding."
Proverbs 3:14,"For the merchandise of it is better than the merchandise of silver, and the gain thereof than fine gold."
Proverbs 3:15,She is more precious than rubies: and all the things thou canst desire are not to be compared unto her.
Proverbs 11:30,The fruit of the righteous is a tree of life; and he that winneth souls is wise.
Proverbs 13:24,He that spareth his rod hateth his son: but he that loveth him chasteneth him betimes.
Proverbs 15:16,Better is little with the fear of the LORD than great treasure and trouble therewith.
Proverbs 15:31,The ear that heareth the reproof of life abideth among the wise.
Proverbs 15:32,He that refuseth instruction despiseth his own soul: but he that heareth reproof getteth understanding.
Proverbs 15:33,The fear of the LORD is the instruction of wisdom; and before honour is humility.
Proverbs 20:1,"Wine is a mocker, strong drink is raging: and whosoever is deceived thereby is not wise."
Proverbs 22:15,Foolishness is bound in the heart of a child; but the rod of correction shall drive it far from him.
Proverbs 23:13,"Withhold not correction from the child: for if thou beatest him with the rod, he shall not die."
Proverbs 23:14,"Thou shalt beat him with the rod, and shalt deliver his soul from hell."
Proverbs 26:4,"Answer not a fool according to his folly, lest thou also be like unto him."
Proverbs 26:5,"Answer a fool according to his folly, lest he be wise in his own conceit."
Ecclesiastes 7:20,"For there is not a just man upon earth, that doeth good, and sinneth not."
Ecclesiastes 11:5,"As thou knowest not what is the way of the spirit, nor how the bones do grow in the womb of her that is with child: even so thou knowest not the works of God who maketh all."
Isaiah 40:28,"Hast thou not known? hast thou not heard, that the everlasting God, the LORD, the Creator of the ends of the earth, fainteth not, neither is weary? there is no searching of his understanding."
Isaiah 40:29,He giveth power to the faint; and to them that have no might he increaseth strength.
Isaiah 40:30,"Even the youths shall faint and be weary, and the young men shall utterly fall:"
Isaiah 40:31,"But they that wait upon the LORD shall renew their strength; they shall mount up with wings as eagles; they shall run, and not be weary; and they shall walk, and not faint."
Isaiah 53:1,Who hath believed our report? and to whom is the arm of the LORD revealed?
Isaiah 53:2,"For he shall grow up before him as a tender plant, and as a root out of a dry ground: he hath no form nor comeliness; and when we shall see him, there is no beauty that we should desire him."
Isaiah 53:3,"He is despised and rejected of men; a man of sorrows, and acquainted with grief: and we hid as it were our faces from him; he was despised, and we esteemed him not."
Isaiah 53:4,"Surely he hath borne our griefs, and carried our sorrows: yet we did esteem him stricken, smitten of God, and afflicted."
